MOVIES,YEAR,GENRE,RATING,VOTES,RunTime,Gross
Kon-Tiki,-2012,Adventure$ Biography$ Drama,7.2,47166,118,$1.52M
Next Gen,(I) (2018),Animation$ Action$ Adventure,6.6,15524,106,
Moesha,(1996–2001),Comedy$ Drama$ Family,5.8,3430,30,
Unsolved,(2018– ),Biography$ Crime,7.9,7032,60,
De nærmeste,-2015,Drama,5.6,1192,106,
Arifureta Shokugyou de Sekai Saikyou,(2019– ),Animation$ Action$ Adventure,7,1613,23,
Under the Shadow,-2016,Drama$ Fantasy$ Horror,6.9,25632,84,$0.03M
Satsuriku no Tenshi,-2018,Animation$ Adventure$ Horror,6.4,1411,24,
A Man for All Seasons,-1966,Biography$ Drama$ History,7.7,32729,120,$28.35M
Wednesday,(II),Comedy$ Family$ Fantasy,,,,
Nabillera,(2021– ),Drama,8.8,1161,60,
La Révolution,-2020,Action$ Adventure$ Drama,6.5,4901,,
Spaceman of Bohemia,,Adventure$ Drama$ Sci-Fi,,,,
Sniper: Assassin's End,(2020 Video),Action$ Thriller,5.4,1649,95,
Grand Designs,(1999– ),Documentary,8.5,2855,50,
Hope Gap,-2019,Drama$ Romance,6.7,4085,100,
Million Dollar Arm,-2014,Biography$ Drama$ Sport,7,44546,124,$36.45M
Run On,(2020–2021),Drama$ Romance,7.6,1638,70,
The Dawn Wall,-2017,Documentary$ Biography$ Sport,8.1,16824,100,$1.08M
Tabula Rasa,-2017,Drama$ Horror$ Thriller,8,9128,60,
Evil Genius: The True Story of America's Most Diabolical Bank Heist,-2018,Documentary$ Crime,7.5,25186,192,
Alex Strangelove,-2018,Comedy$ Drama$ Romance,6.3,15972,99,
Down to Earth with Zac Efron,(2020– ),Documentary$ Short$ History,8.1,5754,,
The Rational Life,(2021– ),Drama$ Romance,8.2,192,45,
Winchester '73,-1950,Action$ Drama$ Western,7.6,18670,92,
Big Game,-2014,Action$ Adventure,5.4,31914,90,$0.02M
The Bookshop,-2017,Drama,6.5,13939,113,$1.33M
Zoe,(I) (2018),Romance$ Sci-Fi,6.1,8146,104,
Clinical,-2017,Horror$ Thriller,5.1,7392,104,
D-Tox,-2002,,5.3,25639,96,$0.08M
AlRawabi School for Girls,-2021,,,,,
Our Souls at Night,-2017,,6.9,12344,103,
The Toys That Made Us,(2017– ),Documentary$ Comedy$ History,8.1,5161,46,
Down a Dark Hall,-2018,Drama$ Fantasy$ Horror,5.1,12631,96,
Zheng tu,-2020,Action$ Adventure$ Fantasy,6.1,3578,110,
A Boy Called Christmas,-2021,Adventure$ Drama$ Family,,,,
Clarence,(2013–2018),Animation$ Short$ Adventure,6.6,7736,23,
Fyre,-2019,Documentary$ Crime$ Music,7.2,39575,97,
El bar,-2017,Comedy$ Horror$ Thriller,6.3,24421,102,
Black Earth Rising,-2018,Thriller,7.5,4361,60,
Self Made: Inspired by the Life of Madam C.J. Walker,-2020,Biography$ Drama$ History,7.3,10219,191,
Stree,-2018,,7.6,30544,128,
Death to 2020,(2020 TV Special),,6.8,34649,70,
Word of Honor,(2021– ),Action$ Drama$ Fantasy,9.1,2166,45,
Romaenseuneun Byulchaekboorok,-2019,Romance,8.1,3704,62,
Green Eggs and Ham,(2019– ),Animation$ Short$ Adventure,8.2,2030,26,
A United Kingdom,-2016,Biography$ Drama$ History,6.9,15365,111,$3.90M
Small Crimes,-2017,Crime$ Drama$ Thriller,5.8,7416,95,
PJ Masks,(2015–2021),Animation$ Action$ Adventure,5.5,1024,24,
Christmas in the Wild,-2019,Comedy$ Drama$ Romance,6.1,13005,85,
Pokémon Journeys,(2019– ),,6.2,177,,
Curon,-2020,Drama$ Fantasy$ Horror,5.8,3586,,
Naissance des pieuvres,-2007,,6.7,10813,85,$0.08M
Falsa Identidad,(2018– ),Crime$ Drama$ Thriller,7.2,262,,
The Princess Switch: Switched Again,-2020,Comedy$ Drama$ Family,5.4,8340,96,
Jue di tao wang,-2016,Action$ Adventure$ Comedy,5.7,19872,107,$0.00M
The Hurricane Heist,-2018,Action$ Adventure$ Crime,5.1,19776,103,$6.12M
Flight 7500,-2014,Drama$ Horror$ Sci-Fi,4.8,15349,80,
Elisa y Marcela,-2019,Biography$ Drama$ Romance,6.6,3984,118,
Sanyangeui sigan,-2020,Action$ Crime$ Drama,6.3,4458,134,
Men Behaving Badly,(1992–2014),,7.7,7550,45,
Balle perdue,-2020,Action$ Crime$ Thriller,6.2,8228,92,
Ji hun,-2021,Drama$ Mystery$ Sci-Fi,6.6,1926,130,
Yangguang puzhao,-2019,,7.6,6542,156,
Xin shen bang: Ne Zha chong sheng,-2021,Animation$ Action$ Fantasy,6.9,2212,118,
Bom Dia$ Verônica,(2020– ),Crime$ Drama$ Mystery,7.6,2893,49,
Crime Scene: The Vanishing at the Cecil Hotel,-2021,Documentary$ Crime$ Mystery,5.9,15072,219,
The Night Before,(II) (2015),,6.4,68503,101,$43.04M
En affære,-2018,Drama$ Thriller,5.5,1682,92,
The Bubble,,,,,,
Get Even,(2020– ),Crime$ Drama$ Thriller,6.5,1904,28,
Fi,(2017–2018),,7.8,9721,60,
Coffee & Kareem,-2020,Action$ Comedy$ Crime,5.1,12524,88,
The World of the Married,(2020– ),,8.1,1863,80,
Looking Glass,(I) (2018),Mystery$ Thriller,4.6,6155,103,
The Debt Collector,-2018,,5.8,6619,95,
Laggies,-2014,Comedy$ Drama$ Romance,6.4,42740,99,$0.44M
Kôkaku kidôtai: Stand Alone Complex,(2002–2005),Animation$ Action$ Crime,8.5,18383,24,
The Double,(I) (2011),Action$ Crime$ Drama,5.9,29333,98,
Bo Burnham: what.,(2013 TV Special),,8.4,9995,60,
Nightworld,-2017,Horror$ Thriller,4.4,2155,92,
I Am the Pretty Thing That Lives in the House,-2016,Drama$ Horror$ Mystery,4.6,13685,89,
Tower of God,(2020– ),Animation$ Action$ Adventure,7.8,4059,23,
Dirty Money,(2018– ),,8.1,8359,60,
Love/Hate,(2010–2014),Crime$ Drama,8.5,6346,51,
Pieles,-2017,Comedy$ Drama$ Fantasy,6.2,5206,77,
Malang - Unleash the Madness,-2020,Action$ Crime$ Drama,6.5,9236,135,
Seulgirowun Gamppangsaenghwal,(2017–2018),Comedy$ Drama,8.4,2163,90,
Dolly Parton's Heartstrings,(2019– ),Comedy$ Drama$ Music,7.6,1920,62,
Kagittan Hayatlar,-2021,Drama,6.7,10210,96,
Mark Felt: The Man Who Brought Down the White House,-2017,Biography$ Drama$ History,6.4,12491,103,$0.77M
Forces spéciales,-2011,Action$ Drama$ War,6.4,18275,109,$0.01M
Death Warrant,-1990,Action$ Crime$ Mystery,5.7,17926,89,$16.85M
Eden,(I) (2021– ),Animation$ Action$ Adventure,6.6,821,25,
Beyond a Reasonable Doubt,-2009,Crime$ Drama$ Mystery,5.9,12570,106,$0.03M
