MOVIES,YEAR,GENRE,RATING,VOTES,RunTime,Gross
Penny Dreadful,(2014–2016),Drama$ Fantasy$ Horror,8.2,115055,60,
Unbelievable,-2019,Crime$ Drama,8.4,81658,385,
Fate: The Winx Saga,(2021– ),Action$ Adventure$ Drama,6.9,30827,,
Feel Good,(2020–2021),Comedy$ Drama$ Romance,7.5,7949,30,
Bodyguard,-2018,Crime$ Drama$ Thriller,8.1,103187,60,
The Legend of Korra,(2012–2014),Animation$ Action$ Adventure,8.4,109581,23,
Bird Box,-2018,Horror$ Sci-Fi,6.6,297927,124,
She-Ra and the Princesses of Power,(2018–2020),Animation$ Action$ Adventure,7.9,11967,30,
Scorpion,(2014–2018),Action$ Crime$ Drama,7.1,48387,43,
Derry Girls,(2018– ),Comedy,8.4,24293,30,
Hell or High Water,(II) (2016),Action$ Crime$ Drama,7.6,211816,102,$26.86M
The Babysitter,(I) (2017),Comedy$ Horror,6.3,79593,85,
Marriage Story,-2019,Comedy$ Drama$ Romance,7.9,266307,137,$2.00M
Ratched,(2020– ),Crime$ Drama$ Mystery,7.3,44914,,
Annihilation,-2018,Adventure$ Drama$ Horror,6.8,293459,115,$32.73M
Fractured,(I) (2019),Mystery$ Thriller,6.4,62113,99,
El Camino: A Breaking Bad Movie,-2019,Action$ Crime$ Drama,7.3,200029,122,
Godless,-2017,Drama$ Western,8.3,56997,452,
Haikyuu!!,(2014–2020),Animation$ Comedy$ Drama,8.7,15250,24,
Wind River,-2017,Crime$ Drama$ Mystery,7.7,218337,107,$33.80M
Dirilis: Ertugrul,(2014–2019),Action$ Adventure$ Drama,8,31182,120,
Frozen,(I) (2013),Animation$ Adventure$ Comedy,7.4,586769,102,$400.74M
The Haunting of Bly Manor,-2020,Drama$ Horror$ Mystery,7.4,77872,494,
Charlie's Angels,-2019,Action$ Adventure$ Comedy,4.8,62393,118,
Love,(2016–2018),Comedy$ Drama$ Romance,7.7,39010,50,
Spenser Confidential,-2020,Action$ Comedy$ Crime,6.2,77727,111,
Centaurworld,(2021– ),Animation$ Adventure$ Comedy,7.5,207,25,
Lo imposible,-2012,Drama$ History$ Thriller,7.6,208903,114,$19.02M
Shadowhunters: The Mortal Instruments,(2016–2019),Action$ Drama$ Fantasy,6.6,56183,42,
The Ranch,(2016–2020),Comedy$ Drama$ Western,7.5,35091,30,
Shooter,(2016–2018),Action$ Drama,7.5,33000,60,
Zoo,(2015–2017),Drama$ Mystery$ Sci-Fi,6.7,23095,42,
The Trial of the Chicago 7,-2020,Drama$ History$ Thriller,7.8,153211,129,
Comment je suis devenu super-héros,-2020,Action$ Adventure$ Comedy,5.8,3214,97,
Stowaway,-2021,Drama$ Sci-Fi$ Thriller,5.6,36937,116,
The Nice Guys,-2016,Action$ Comedy$ Crime,7.4,295435,116,$36.26M
The Snowman,-2017,Crime$ Drama$ Thriller,5.1,60354,119,$6.67M
Moonrise Kingdom,-2012,Comedy$ Drama$ Romance,7.8,328550,94,$45.51M
Contagion,-2011,Drama$ Thriller,6.7,290444,106,$75.66M
Nashville,(2012–2018),Drama$ Music$ Romance,7.7,23735,43,
This Is England,-2006,Crime$ Drama,7.7,117889,101,$0.33M
El hoyo,-2019,Horror$ Sci-Fi$ Thriller,7,183495,94,
Scream,(2015–2019),Comedy$ Crime$ Drama,7.1,35660,45,
Halston,-2021,Biography$ Drama,7.5,10460,240,
Castle Rock,(2018–2019),Drama$ Fantasy$ Horror,7.6,40731,60,
Misfits,(2009–2013),Comedy$ Drama$ Fantasy,8.2,95735,60,
Medici,(2016–2019),Biography$ Drama$ History,7.9,16659,60,
I'm Thinking of Ending Things,-2020,Drama$ Thriller,6.6,71640,134,
